id,name_common,name,name_en_trade,type,brand,vendor,model,stock_no,serial_no,price,qty,budget_year,received_date,location,status,note,image_urls,created_at,updated_at
2,Ultrasound,เครื่องตรวจหัวใจด้วยคลื่นความถี่สูง(Echocardiogram ),TEE,Ultrasound,Phillips,,EPIG CVX3probe,6515-35-747-1437,USN18B0843,5000000.00,1,,23มิ ย63,คลัง กวห.,ปกติ,บริจาค มูลนิธปอเต๊กตึ้ง,"https://lh3.googleusercontent.com/d/1EgOZGoRsxgRWWqcXIhGTdcOsAZ7FggeP=w1920, https://lh3.googleusercontent.com/d/1Gx-fDiMpykmObgZG8JcvRSLzYsI3x1xO=w1920",,
3,Ultrasound,เครื่องตรวจอวัยวะภายในด้วยคลื่นเสียงความถี่สูงแบบหิ้วถือ,,Ultrasound,Senosite,,M torbo,6515-35-747-5121,03KYVM,1830000,1,,17ตค54,,,,,,
4,Ultrasound,เครื่องตรวจหาเส้นประสาทและหลอดเลือดด้วยคลื่นเสียงความถี่สูงชนิดหิ้วถือ,,Ultrasound,GE,,LOGIO E,6515-35-747-9711,610752wxo,1970000.00,1,,11สค60,,,,,,
5,Ultrasound,เครื่องตรวจจับฟองอากาศในเลือด,,Ultrasound,Doppler,,Par-9/5BL,6515-35-747-9716,122740,,1,,28/04/1959,,,โอนย้ายจากรพ.จันทรุเบกษา,,,
6,Ultrasound,,,Ultrasound,GE,,Venue Go R3,,VGC007851,,,,,,,,,,
7,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Prima laser therapy,,Model PLT202101,4240-35-740-4208,Sn.20100204,33000.00,,,24มิย64,,,บริจาค Claim เป็น20100708,,,
8,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Prima laser therapy,,Model PLT202101,4240-35-740-4208,Sn.20100207,33000.00,,,24มิย64,,,บริจาค,,,
9,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Prima laser therapy,,Model PLT202101,4240-35-740-4208,Sn.20100209,33000.00,,,24มิย64,,,บริจาค,,,
10,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Menam mechanika,,Model PAPRS SC-0031,4240-35-740-4208,Sn. SC-003/2964,40000.00,,,24มิย64,,,บริจาค,,,
11,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Menam mechanika,,Model PAPRS SC-0031,4240-35-740-4208,Sn. SC-003/2968,40000.00,,,24มิย64,,,บริจาค,,,
12,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Menam mechanika,,Model PAPRS SC-0031,4240-35-740-4208,Sn. SC-003/2969,40000.00,,,24มิย64,,,บริจาค,,,
13,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,Menam mechanika,,Model PAPRS SC-0031,4240-35-740-4208,Sn. SC-003/2971,40000.00,,,8มิย64,,,บริจาค,,,
14,PAPR,ชุดกันไวรัส PAPR ความดันบวก(หมวกป้องกันการติดเชื้อ แบบที่1)),,PAPR,3M,,Model Versailles TR-300+,4240-35-740-4121,Sn.CUK3-66649,51400.00,,,8มิย64,,,บริจาค,,,
